# i,j,k,Xi,Yj,Zk,Bxi,Bxj,Bxk,Bmagnitude,Gradientx,Bgradienty,Bgradientz
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,-5.000000000000000000e+00,3.028282606626884905e-10,1.561242688696526482e-10,9.420277076616780095e-12,3.408349811951130368e-10,2.245386125361610321e-10,1.905180481750313555e-10,-1.227885799484195804e-10
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,-3.888888888888888840e+00,9.271249797152299219e-11,1.233746328191797546e-10,1.540367676668364783e-10,2.180464012466934564e-10,9.165101445078599990e-11,2.581413070438630209e-10,4.677709371267166207e-11
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,-2.777777777777777679e+00,-2.335617215943933482e-10,6.356744903913843917e-11,3.606966196726702007e-10,4.343891686204563609e-10,-2.922287127524074804e-10,1.992379660178082716e-10,3.528083896946336710e-10
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,-1.666666666666666519e+00,-6.792711590660554650e-10,-2.697902027486762933e-11,6.253131185163202839e-10,9.236631806359608501e-10,-1.012869515273670068e-10,2.678687090506479839e-10,5.430331460567551669e-10
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,-5.555555555555553582e-01,-1.203292472201462959e-09,-1.424100754994360413e-10,9.184723212025907730e-10,1.520455460733966643e-09,1.567322058950494742e-10,4.140036330275770533e-10,5.885842407777383890e-10
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,5.555555555555553582e-01,-1.714102264630389815e-09,-2.642817278263767603e-10,1.185538808977636501e-09,2.100831662191437628e-09,4.307076731227344217e-10,5.688111587499603373e-10,5.077488829698930420e-10
0.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,1.666666666666666963e+00,-2.103207884127863989e-09,-3.673889284810363506e-10,1.368430027165791495e-09,2.535953226673752727e-09,6.215502292247776830e-10,6.641694811031569671e-10,3.235745492658333173e-10
0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,2.777777777777778567e+00,-2.302152810932676604e-09,-4.326994332415228754e-10,1.436753944449630750e-09,2.747980760723104263e-09,6.727686536439683382e-10,6.673004269987383231e-10,1.025364665921502220e-10
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,3.888888888888889284e+00,-2.312022690676458620e-09,-4.560477932313777755e-10,1.399927104213702759e-09,2.741026159858053171e-09,6.079259960801151082e-10,5.946296419667557980e-10,-8.564420478803139293e-11
0.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,-5.000000000000000000e+00,-3.888888888888888840e+00,5.000000000000000000e+00,-2.184079377547422614e-09,-4.458233360605566307e-10,1.292432705426309249e-09,2.576692351147041477e-09,4.889960135752256473e-10,4.862867595362887773e-10,-1.643338087110116942e-10
0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,-5.000000000000000000e+00,4.686192563656684407e-10,3.074452009780125805e-10,1.462711455903566944e-10,5.792424423964786881e-10,2.340370701710478472e-10,2.716830137172794706e-10,-4.137526192322583435e-11
0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,-3.888888888888888840e+00,2.542697961565538084e-10,3.074832079146120046e-10,3.606966196726702007e-10,5.378671804732528537e-10,7.556939052409600152e-11,3.658813930040939273e-10,7.719139398349783464e-11
0.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,-2.777777777777777679e+00,-1.155319897725113332e-10,2.769555224122399654e-10,6.694430345969912899e-10,7.336252303634743573e-10,-2.667385914945168192e-10,3.891004680227217899e-10,3.671116444295935419e-10
0.000000000000000000e+00,2.000000000000000000e+00,3.000000000000000000e+00,-5.000000000000000000e+00,-2.777777777777777679e+00,-1.666666666666666519e+00,-6.619104668511310999e-10,2.026678623990836811e-10,1.067246191649298462e-09,1.272090469332439937e-09,-1.524313662112850740e-10,4.462353601676745882e-10,6.409506971607169819e-10
